symbols,brain > body (default),brain >= body,brain non-zero
CGGBP1,0,0,1
AP3B1,0,0,1
FCN3,0,0,1
BLZF1,0,0,1
LGR5,0,1,1
MAPKAPK5,0,0,1
INE1,0,0,1
BHLHE40,0,0,1
PIAS1,0,0,1
CDC14B,0,1,1
CDC14A,0,0,1
TCAP,0,1,1
CDK10,0,0,1
PRPF18,0,0,1
DEGS1,0,0,1
DENR,0,0,1
THOC5,0,0,1
KMO,0,1,1
YARS,0,1,1
PDXK,1,1,1
MADD,0,1,1
RRP1,0,1,1
MKNK1,0,0,1
KHSRP,0,0,1
PDLIM4,0,0,1
CASK,0,1,1
AKR7A2,0,0,1
PRKRA,0,0,1
STK16,0,0,1
TMEFF1,1,1,1
SCARF1,0,0,1
LY6D,0,1,1
OR6A2,0,0,0
TNFSF11,0,0,0
RGS20,1,1,1
NOP14,0,0,1
FAM193A,0,0,1
SLC25A12,0,1,1
PLA2G4C,1,1,1
RUVBL1,0,0,1
RDH16,0,1,1
KLF7,0,0,1
PLPP1,0,0,1
PLPP2,0,1,1
PLPP3,0,1,1
STC2,0,0,1
USO1,0,0,1
CADPS,1,1,1
NPFF,0,1,1
CDK13,0,0,1
PDE8B,1,1,1
ASMTL,0,0,1
PSMG1,0,0,1
RFXANK,0,0,1
TP63,0,0,1
JRK,0,1,1
HSD17B6,0,1,1
SKAP1,0,0,1
DNAH17,0,1,1
UNC5C,1,1,1
RTCA,0,0,1
RNASET2,0,1,1
SSNA1,0,0,1
EIF4EBP3,0,0,1
OASL,0,0,1
AOC3,0,0,1
PCDHGB4,0,0,1
DCHS1,0,0,1
PTCH2,0,1,1
AKR1C3,0,0,1
KCNK5,0,0,1
CHRD,0,1,1
ABCB11,0,0,0
NCOA1,0,1,1
LAMTOR3,0,1,1
NUMB,0,0,1
SOCS1,0,0,1
DDX3Y,0,1,1
PDE5A,0,0,1
DYNLL1,1,1,1
TNKS,0,1,1
ALDH4A1,1,1,1
IRS2,0,1,1
EIF3A,0,0,1
EIF3B,0,0,1
EIF3D,0,0,1
EIF3F,0,0,1
EIF3G,0,0,1
EIF3H,0,0,1
EIF3I,0,0,1
EIF3J,0,1,1
SLC4A4,1,1,1
EIF4G3,0,1,1
VAMP8,0,0,1
VAMP4,0,1,1
STX16,0,0,1
STX11,0,0,1
STX10,0,0,1
BECN1,0,0,1
JMJD7-PLA2G4B,0,0,1
PEA15,1,1,1
SRSF9,0,0,1
MARCO,0,0,1
KRT38,0,0,0
KRT37,0,0,0
KRT36,0,0,0
JRKL,0,0,1
HYAL2,0,0,1
DGAT1,0,0,1
CDC23,0,0,1
S1PR4,0,0,1
DNAH11,0,0,1
B4GALT4,0,0,1
B4GALT3,0,0,1
B4GALT2,0,1,1
B3GALT4,0,0,1
B3GALNT1,1,1,1
B3GALT2,1,1,1
B3GALT1,1,1,1
SERPINB7,0,0,0
TNK1,0,0,1
PAGE1,0,0,0
ABCC3,0,0,1
NOL4,1,1,1
TRADD,0,0,1
TNFRSF25,0,1,1
MBTPS1,0,0,1
EDF1,0,0,1
CTSF,0,1,1
SNX4,0,1,1
SNX3,0,1,1
URI1,0,1,1
EED,0,0,1
CTNNAL1,0,0,1
ADAM19,0,0,1
GBF1,0,0,1
RNMT,0,1,1
RNGTT,0,1,1
GPAA1,0,0,1
MYH13,0,0,0
MYOM1,0,1,1
RIPK1,0,0,1
CRADD,0,0,1
HRK,1,1,1
TNFSF14,0,0,1
TNFSF13,0,1,1
TNFSF12,0,1,1
TNFSF10,0,0,1
TNFSF9,0,1,1
ADAM23,1,1,1
ADAM21,0,1,1
ADAM20,0,1,1
ADAM18,0,0,0
ADAM15,0,0,1
ADAM9,0,0,1
ADAM6,0,0,0
ADAM7,0,0,0
CDS2,1,1,1
PABPC4,0,0,1
CD164,0,0,1
TNFRSF14,0,0,1
RAB11A,0,1,1
RIPK2,0,0,1
TNFRSF6B,0,1,1
FADD,0,0,1
SNAP23,0,0,1
NAPG,1,1,1
NAPA,0,1,1
MTMR1,0,1,1
MPDZ,0,1,1
SIGLEC14,0,1,1
RIOK3,0,0,1
TNFRSF18,0,1,1
MATN4,0,1,1
RGS11,1,1,1
RGS9,0,1,1
DLK1,0,1,1
FBP2,0,0,0
FPGT,0,0,1
TNFRSF11A,0,0,1
TNFRSF10D,0,0,1
TNFRSF10C,0,0,1
TNFRSF10B,0,0,1
SCEL,0,1,1
TNFRSF10A,0,0,1
DYRK4,0,1,1
PEX11B,0,1,1
PEX11A,0,0,1
SUCLG2,0,0,1
SUCLG1,0,0,1
SUCLA2,0,1,1
CREG1,0,0,1
TRIM24,0,0,1
IL18RAP,0,0,1
IL1RL2,0,0,1
IL18R1,0,0,1
GALR2,0,1,1
CCNK,0,0,1
DPM1,0,0,1
CDKL1,0,0,1
BANF1,0,0,1
DCAF5,0,0,1
FGF18,0,0,1
DPM2,0,1,1
SAP30,0,1,1
HESX1,0,1,1
INPP4B,0,0,1
FGF17,1,1,1
FGF16,0,0,0
CES2,0,0,1
LIN7A,0,1,1
IQGAP1,0,0,1
NRP2,0,0,1
NRP1,0,0,1
SYNGAP1,0,1,1
CD84,0,0,1
GMPS,0,0,1
TMEM11,0,0,1
SOCS2,0,0,1
GGH,0,1,1
CFLAR,0,0,1
WISP3,0,1,1
WISP2,0,0,1
WISP1,0,0,1
HDAC3,0,0,1
PROM1,0,1,1
HCAR3,0,0,1
KSR1,0,0,1
ALKBH1,0,0,1
DLEU2,0,0,1
TSC22D1,0,1,1
KAT2B,1,1,1
CDK5R1,1,1,1
AKAP4,0,0,0
ASAP2,0,1,1
ALDH1A2,0,0,1
NR1I2,0,1,1
FCGBP,0,0,1
PROZ,0,1,1
STK19,0,0,1
LDB1,0,0,1
APLN,1,1,1
PER3,0,1,1
PER2,0,0,1
SYNJ1,1,1,1
ST3GAL5,1,1,1
IER3,0,0,1
SYNJ2,1,1,1
CDC123,0,0,1
ARHGEF7,0,1,1
VNN2,0,0,1
VNN1,0,0,1
SPHK1,0,0,1
SQSTM1,0,0,1
SGPL1,0,0,1
FUBP1,0,0,1
CDC16,0,0,1
ZPR1,0,0,1
NAE1,0,1,1
SLC5A6,0,1,1
DDX18,0,0,1
TAX1BP1,0,0,1
MCM3AP,0,0,1
EIF2B4,0,0,1
EIF2B3,0,0,1
EIF2B2,0,0,1
EIF2B5,0,0,1
EIF2S2,0,0,1
CPNE3,0,0,1
BUD31,0,1,1
MTMR3,0,1,1
MTMR2,0,1,1
PRPF4B,0,0,1
CCNA1,1,1,1
CPNE1,0,0,1
AP1S2,0,1,1
AP1G2,0,1,1
AP1M1,0,1,1
GYG2,0,1,1
ENDOU,0,1,1
SGCE,0,1,1
CACNA1I,1,1,1
CACNA1H,0,0,1
CACNA1G,1,1,1
TIMELESS,0,0,1
BCL10,0,0,1
HERC3,0,1,1
HERC2,0,1,1
HERC1,0,1,1
BSN,1,1,1
FOXH1,0,1,1
PHOX2B,0,0,0
MBD4,0,0,1
MBD2,0,0,1
RTL8C,0,1,1
RAB29,0,0,1
SKAP2,0,0,1
WASF1,1,1,1
BAIAP3,1,1,1
FUBP3,0,0,1
TOP3B,0,0,1
CDK5R2,1,1,1
KYNU,0,0,1
AP3D1,0,0,1
BTRC,1,1,1
HIST1H3F,0,0,0
HIST1H2AG,0,0,1
HIST1H2BJ,0,0,1
H1FX,0,0,1
MGAM,0,1,1
CHRNA6,0,0,0
P4HA2,0,0,1
USP13,0,0,1
WASL,0,1,1
PLOD3,0,0,1
RPS6KA4,0,1,1
STBD1,0,0,1
HSPB3,0,0,0
TRPA1,0,0,0
SELENBP1,0,0,1
ATP6V0E1,0,0,1
PGLYRP1,0,1,1
LIMD1,0,0,1
TNFSF18,1,1,1
NOL3,0,0,1
KALRN,0,1,1
CDKL2,1,1,1
HAP1,1,1,1
F2RL3,0,0,1
TAF1C,0,0,1
TAF1B,0,0,1
TAF1A,0,0,1
SLC25A14,0,1,1
MPZL1,0,0,1
MAP3K14,0,0,1
SOCS3,0,0,1
CLIC3,0,0,1
CH25H,0,1,1
BRSK2,1,1,1
RNF8,0,1,1
HIP1R,1,1,1
NAT8,0,1,1
RHBDL1,1,1,1
BAZ1B,0,1,1
TM4SF5,0,0,0
PKD2L1,0,1,1
CCRL2,0,0,1
SEMA5A,0,1,1
TAAR5,0,0,0
UBA3,0,0,1
UBE2MP1,1,1,1
SPAG9,0,1,1
BTAF1,0,0,1
RPL14,0,0,1
DOK2,0,0,1
SH2D2A,0,0,1
ARTN,0,1,1
AIP,0,1,1
PSTPIP2,0,0,1
PSTPIP1,0,0,1
GPRC5A,0,0,1
MAP7,1,1,1
NFS1,0,1,1
PRC1,0,1,1
SLC7A7,0,0,1
SLC7A6,0,0,1
SLC13A2,0,0,0
PAPSS2,0,0,1
PAPSS1,0,1,1
PIAS2,0,1,1
MAP3K6,0,0,1
SYT7,1,1,1
ANGPTL1,0,0,1
CLDN12,0,1,1
ASH2L,0,1,1
CLDN10,1,1,1
CLDN8,0,0,0
CLDN6,1,1,1
CLDN2,0,1,1
CLDN1,0,0,1
DIRAS3,0,1,1
LDB2,0,1,1
CLDN9,1,1,1
PRY,0,0,0
XKRY,0,0,0
BPY2,0,0,0
VCY,0,0,0
CDY1,0,0,0
EIF1AY,0,1,1
TMSB4Y,1,1,1
PKMYT1,0,1,1
PIGQ,0,1,1
SART1,0,0,1
DNAJA3,0,0,1
UNC119,0,1,1
TBX19,0,0,1
TBX18,0,0,1
USP14,0,1,1
USP6,0,1,1
USP2,0,1,1
USP10,0,0,1
USP8,0,0,1
RGN,0,1,1
MTMR6,0,1,1
MTMR7,1,1,1
MTMR4,0,1,1
NMI,0,0,1
MTA1,0,0,1
LATS1,0,0,1
ATP6V0D1,0,1,1
SEC22C,0,1,1
INA,1,1,1
KRT75,0,0,0
SLC16A6,1,1,1
SLC16A5,0,0,1
SLC16A4,0,0,1
SLC16A3,0,0,1
PDLIM1,0,0,1
CNOT9,0,0,1
SMC3,0,0,1
P2RX6,1,1,1
PRPF4,0,0,1
PRPF3,0,0,1
FAM50A,0,0,1
AIFM1,0,0,1
KCNQ4,0,1,1
CCNB2,0,0,1
CCNE2,0,1,1
RABEP1,1,1,1
RRP9,0,0,1
ARHGEF1,0,0,1
CBFA2T2,0,1,1
ATG12,0,1,1
PDCD5,0,1,1
CXorf1,0,0,1
SYNGR3,1,1,1
SYNGR2,0,0,1
SYNGR1,1,1,1
HGS,0,0,1
NEMF,0,0,1
NEURL1,1,1,1
DYRK1B,0,1,1
CTDP1,0,0,1
SLC6A5,0,1,1
SLC28A2,0,1,1
SLC28A1,0,1,1
EXO1,0,1,1
FIBP,0,1,1
PCSK7,0,0,1
DGKI,1,1,1
EBAG9,0,1,1
COX7A2L,0,1,1
TMSB10,0,1,1
SCAF11,0,0,1
LPAR2,0,0,1
MYOM2,0,1,1
IL1RL1,0,0,1
MAP3K13,0,1,1
HTR3B,1,1,1
AP4M1,0,0,1
OSMR,0,0,1
ARHGEF2,0,1,1
RASSF9,0,0,1
ZW10,0,0,1
BUB3,0,0,1
REPS2,1,1,1
SLC24A1,0,0,1
DDX21,0,0,1
ZBED1,0,0,1
DEDD,0,0,1
SLC16A7,0,0,1
KCNAB3,1,1,1
SLC33A1,0,0,1
HACD1,0,0,1
DCLK1,1,1,1
ZMYM4,0,1,1
ZMYM3,0,1,1
ZMYM6,0,0,1
ZMYM5,0,0,1
LRRFIP1,0,0,1
LRRFIP2,0,0,1
BMP15,0,0,0
LGI1,1,1,1
AURKB,0,0,1
XPR1,0,1,1
FCMR,0,0,1
LARGE1,0,1,1
VAPB,0,1,1
VAPA,0,1,1
MTA2,0,0,1
TIAF1,1,1,1
NOLC1,0,1,1
MAGI1,0,1,1
LRAT,1,1,1
DLGAP2,1,1,1
DLGAP1,1,1,1
RAB11B,0,1,1
DLG5,0,0,1
PTTG1,0,1,1
IL32,0,0,1
CCPG1,0,1,1
TBRG4,0,0,1
PNMA1,1,1,1
NOG,1,1,1
MSC,0,0,1
CRLF1,0,1,1
GCNT3,0,1,1
UBE2L6,0,1,1
GCM2,0,0,0
GPR50,0,0,0
DHRS3,0,0,1
RPS6KA5,0,1,1
NUMBL,0,1,1
CACNA2D2,1,1,1
AIMP1,0,0,1
TSPOAP1,1,1,1
MFHAS1,0,0,1
PDLIM7,0,0,1
MAPKAPK2,0,0,1
STK17B,0,0,1
STK17A,0,0,1
CYTH3,0,1,1
CYTH2,0,0,1
CYTH1,0,1,1
ITGB1BP1,0,1,1
PIWIL1,0,0,0
BCL7C,0,0,1
BCL7B,0,1,1
COPB2,0,0,1
WDR46,0,0,1
ZBTB22,0,0,1
MED14,0,0,1
GPR37L1,1,1,1
NPIPA1,0,1,1
TAAR2,0,0,0
ADGRG1,0,1,1
GPR55,0,1,1
GPR52,1,1,1
S1PR2,0,0,1
SRSF11,0,0,1
ATP6V1F,1,1,1
SNORD22,0,0,1
SOCS6,0,0,1
CD83,0,1,1
ZNF235,0,1,1
ASIC3,1,1,1
KCNB2,0,0,0
MMP20,0,0,0
KLF4,0,0,1
NREP,1,1,1
PTER,0,1,1
COPS2,0,0,1
TRIP13,0,1,1
TRIP12,0,0,1
TRIP11,0,0,1
TRIP10,0,0,1
HMGN3,0,1,1
TRIP4,0,0,1
ZNHIT3,0,1,1
GTF3C5,0,0,1
GTF3C4,0,0,1
GTF3C3,0,0,1
B4GALT6,1,1,1
CD163,0,0,1
TGM5,0,1,1
B4GALT5,0,0,1
CNOT8,0,0,1
TCEAL1,0,1,1
GLP2R,0,1,1
VAMP3,0,0,1
SNAP29,0,0,1
EFTUD2,0,0,1
TAOK2,0,1,1
NDST3,1,1,1
RPL23,0,0,1
CER1,0,0,0
SLC9A3R2,0,1,1
TXNL1,0,1,1
SLIT2,0,0,1
UBE4A,0,0,1
LHX2,1,1,1
SLC22A6,1,1,1
ITGBL1,0,0,1
PPIG,0,0,1
LONP1,0,1,1
CPNE6,1,1,1
RAB33A,1,1,1
RAB28,0,1,1
KL,0,0,1
RAB9BP1,0,0,0
RAB9A,0,0,1
SLC9A3R1,0,1,1
NRXN3,1,1,1
ADIPOQ,0,1,1
KIF3B,1,1,1
ZFYVE9,0,1,1
PLAA,0,0,1
PPT2,0,0,1
TM9SF2,0,0,1
SLC22A8,0,1,1
COX5A,0,1,1
NRXN1,1,1,1
NRXN2,1,1,1
GRHPR,0,0,1
OTOF,1,1,1
COG1,0,1,1
TSIX,0,1,1
LIPG,0,1,1
SLC22A14,0,1,1
SLC22A13,0,1,1
CIAO1,0,0,1
TGFBRAP1,0,0,1
HS6ST1,0,1,1
NMT2,0,1,1
CD101,0,0,1
STOML1,1,1,1
RECQL5,0,0,1
RECQL4,0,1,1
GRAP2,0,0,1
SELENOF,0,0,1
LPXN,0,0,1
ZRANB2,0,0,1
TMPRSS11D,0,0,0
PEX16,0,1,1
SNRNP40,0,0,1
ARHGAP29,0,0,1
MED21,0,0,1
FAM189A2,0,1,1
TJP2,0,0,1
FADS2,1,1,1
DDX23,0,0,1
CRIPT,1,1,1
CYP7B1,0,0,1
HAND1,0,0,0
ZNF264,0,0,1
NTN1,0,1,1
KCNK6,0,0,1
CDYL,0,0,1
ECEL1,0,1,1
ABCG2,1,1,1
CHST2,1,1,1
NCR2,0,0,0
NCR1,0,0,0
MED23,0,0,1
MED17,0,0,1
MED26,0,0,1
MED27,0,0,1
MED7,0,0,1
QKI,1,1,1
ITM2B,0,1,1
GSTO1,0,0,1
AIM2,0,0,1
MAP4K4,1,1,1
LY86,0,1,1
EIF2AK3,0,0,1
ITM2A,0,1,1
GGPS1,0,1,1
HOMER3,0,1,1
HOMER2,0,1,1
HOMER1,1,1,1
FHL5,0,0,1
ARHGEF6,0,1,1
RASAL2,0,0,1
PICK1,0,1,1
HAND2,0,0,1
AKAP7,0,1,1
IL27RA,0,0,1
SH3BP5,0,0,1
PCYT1B,1,1,1
CHST3,0,0,1
EIF4E2,0,0,1
AKAP6,1,1,1
THEMIS2,0,0,1
ATG5,0,0,1
ROCK2,0,0,1
NAPSA,0,1,1
MED20,0,0,1
CABP1,1,1,1
MAPK8IP1,1,1,1
ONECUT2,1,1,1
SLC25A27,0,1,1
STX8,0,0,1
CHST10,1,1,1
PIGL,0,0,1
PIGB,0,0,1
PGS1,0,0,1
PSMF1,0,0,1
KIF23,0,0,1
AKAP5,1,1,1
TBX4,0,0,0
SLC4A7,0,0,1
SLC4A8,1,1,1
MYOT,0,1,1
MAGED1,0,1,1
RPH3AL,0,0,1
XAGE2,0,0,0
XAGE1D,0,0,1
PAGE4,0,0,0
ADAMTS4,0,1,1
ADAMTS3,0,1,1
ADAMTS2,0,0,1
ADAMTS1,0,0,1
PMPCB,0,0,1
FXR2,0,1,1
GAL3ST1,1,1,1
STXBP5L,1,1,1
LITAF,0,0,1
SPTLC2,0,1,1
GDF15,0,0,1
TBPL1,0,1,1
NPEPPS,0,0,1
EEF1E1,0,1,1
SCAMP1,1,1,1
TECR,0,1,1
VPS4B,0,0,1
MPDU1,0,0,1
GOSR1,0,0,1
TMEM59,0,0,1
BAG5,0,1,1
BAG4,1,1,1
BAG3,0,1,1
BAG2,0,0,1
POLR1C,0,0,1
ZNF254,0,1,1
GMFG,0,0,1
PTGES,0,0,1
TP53I11,0,0,1
EI24,0,0,1
TP53I3,0,0,1
CIR1,0,0,1
NRG2,0,1,1
IGDCC3,1,1,1
RAB3D,0,0,1
APBA3,0,0,1
CXCL14,0,1,1
ATP6V1G1,0,0,1
ATP5MF,0,0,1
SPAG7,0,0,1
MRPL33,0,0,1
SEC22B,0,0,1
H2AFY,0,0,1
C14orf2,1,1,1
CHD1L,0,1,1
VPS26A,0,0,1
MINPP1,0,0,1
H6PD,0,0,1
BCAR1,0,1,1
GTPBP1,0,0,1
GABBR2,1,1,1
GTF2IRD1,0,0,1
GOSR2,0,0,1
NR1D1,0,1,1
GDF3,0,0,0
CLOCK,0,0,1
SPAG6,0,1,1
BABAM2,0,0,1
AL117209.1,0,0,1
SOX13,0,0,1
PREPL,1,1,1
APOBEC3B,0,0,1
ENTPD4,0,0,1
RBM39,0,0,1
KIF20B,0,0,1
CREB5,0,1,1
MAD2L1BP,0,0,1
PRDX6,0,0,1
WTAP,0,0,1
AKAP12,0,1,1
IER2,0,0,1
CYTIP,0,0,1
SMAD5-AS1,0,0,0
PITPNM1,1,1,1
PDIA4,0,0,1
NFE2L3,0,0,1
RNF14,0,1,1
VPS9D1,0,1,1
CARTPT,1,1,1
RAB36,0,1,1
RIN1,0,1,1
NCOR1,0,0,1
NCOR2,0,0,1
GDA,1,1,1
RNF7,0,0,1
MTRF1,0,0,1
TRAF4,0,1,1
ABCG1,0,1,1
CELSR1,0,0,1
KLK4,0,0,0
TCL1B,0,0,0
AATK,1,1,1
GUCA1C,0,0,0
SNCAIP,0,1,1
RGS6,1,1,1
CLCA3P,0,0,0
GNA14,0,1,1
NUP155,0,0,1
SEC24C,0,0,1
TESMIN,0,0,1
CLCA2,0,1,1
ISG15,0,1,1
FEZ2,0,1,1
FEZ1,1,1,1
ARHGEF10,0,1,1
ZNF592,0,0,1
IKBKE,0,0,1
MORF4L2,0,1,1
SH3PXD2A,0,1,1
MICAL2,0,1,1
CTR9,0,0,1
PPM1F,0,0,1
GCC2,0,0,1
RALGPS1,1,1,1
MTFR1,0,0,1
PLCH2,1,1,1
TTC37,0,0,1
HS2ST1,0,1,1
TTLL4,0,1,1
SOCS5,0,0,1
MDC1,0,0,1
IQCB1,0,0,1
ZNF516,0,0,1
PDE4DIP,0,1,1
CEP135,0,0,1
LPIN2,0,1,1
MARF1,0,1,1
DZIP3,1,1,1
SAFB2,0,1,1
ZNF432,0,0,1
EIF5B,0,0,1
IPO13,1,1,1
WSCD2,1,1,1
SDC3,1,1,1
SLC25A44,0,1,1
KIAA0040,0,0,1
TTI1,0,0,1
PPIP5K1,0,1,1
PHF14,0,1,1
FAM53B,0,1,1
DEPDC5,0,0,1
KDM4A,0,0,1
N4BP1,0,0,1
LRRC14,0,0,1
CLINT1,0,0,1
VGLL4,0,0,1
GREB1,0,1,1
NUP93,0,1,1
BZW1,0,0,1
UBE3C,0,0,1
KIAA0391,0,0,1
RAPGEF2,0,1,1
EMC2,0,1,1
EDEM1,0,0,1
CROCC,0,1,1
TRAM2,0,0,1
PUM1,0,0,1
RIMS2,1,1,1
ESPL1,0,0,1
PPP6R2,0,1,1
CEP57,0,0,1
KIAA0100,0,0,1
DHX34,0,0,1
ST18,1,1,1
ULK2,1,1,1
PCDHGA8,0,0,1
HERPUD1,0,0,1
KIAA0355,0,0,1
RUBCN,0,1,1
USP6NL,0,0,1
FAM131B,1,1,1
AQR,0,0,1
SEC14L5,1,1,1
ECE2,1,1,1
ADAMTSL2,0,1,1
CCDC144A,0,1,1
GPRIN2,0,1,1
NOS1AP,1,1,1
SEMA3E,0,1,1
UTP14C,0,0,1
TMEM63A,0,0,1
ZNF646,0,0,1
RAB11FIP3,0,1,1
SECISBP2L,0,1,1
KIAA0408,1,1,1
DCAF1,0,0,1
CEP104,0,0,1
DOCK4,1,1,1
SART3,0,0,1
HDAC9,0,1,1
KNTC1,0,0,1
USP34,0,0,1
GPRASP1,0,1,1
CCP110,1,1,1
SETD1A,0,0,1
LAPTM4A,0,0,1
IFT140,0,1,1
ARHGAP32,0,1,1
ACAP1,0,0,1
ZNF536,1,1,1
CLSTN3,1,1,1
TCAF1,0,1,1
SLK,0,0,1
PHACTR2,0,0,1
RIPOR2,0,1,1
SNPH,1,1,1
PCDHA9,0,1,1
ZSCAN12,0,0,1
STARD8,0,0,1
TBKBP1,0,1,1
AD000671.1,0,0,1
FRMPD4,1,1,1
HDAC4,0,1,1
TOX,0,1,1
MLEC,0,0,1
RP5-1187M17.1,0,0,1
KIAA0513,1,1,1
ZFYVE16,0,1,1
SUSD6,0,0,1
JADE3,0,0,1
PCLAF,0,1,1
RASSF2,1,1,1
RAPGEF5,1,1,1
TMEM94,0,1,1
BCLAF1,0,0,1
EIF4A3,0,0,1
ATG13,0,1,1
TM9SF4,0,0,1
KIAA0232,0,1,1
TBC1D5,0,1,1
PIEZO1,0,0,1
RNF144A,1,1,1
MATR3,1,1,1
RIMS3,1,1,1
SNX17,0,0,1
DHX38,0,0,1
KIAA0586,0,0,1
DLGAP5,0,0,1
MTSS1,0,1,1
SPCS2,0,1,1
BMS1,0,0,1
PTDSS1,0,0,1
SERTAD2,0,0,1
CKAP5,0,1,1
MAML1,0,0,1
PHYHIP,1,1,1
TATDN2,0,1,1
IST1,0,0,1
MRPL19,0,1,1
DAZAP2,0,0,1
TOMM20,0,1,1
SCRN1,1,1,1
SPOCK2,1,1,1
IP6K1,0,1,1
KIAA0087,1,1,1
RNF40,0,0,1
CTIF,0,1,1
DELE1,0,0,1
EFCAB14,0,0,1
SFI1,0,1,1
GIT2,0,1,1
URB2,0,0,1
KEAP1,0,0,1
NUP58,0,0,1
TSC22D2,0,0,1
CUL7,0,0,1
RB1CC1,0,1,1
ARMCX2,0,1,1
ARHGAP11A,0,1,1
SPATA2,1,1,1
ARHGEF11,0,1,1
RGP1,0,0,1
ARHGEF17,0,1,1
DNAJC6,1,1,1
TRIM14,0,0,1
ZNF623,0,1,1
JAKMIP2,1,1,1
MELK,0,0,1
FAM30A,0,1,1
LCMT2,0,0,1
GINS1,0,1,1
ZEB2,0,1,1
TESPA1,0,1,1
ZBTB24,0,0,1
PLEKHM1,0,0,1
HEPH,0,1,1
ELMO1,1,1,1
GAB2,0,1,1
C2CD5,0,1,1
MFAP3L,1,1,1
ZNF518A,0,0,1
KIAA0753,0,0,1
EPM2AIP1,0,1,1
RUSC2,0,1,1
C2CD2L,1,1,1
FARP2,0,0,1
KIAA0319,1,1,1
CEP350,0,0,1
PPP1R26,0,1,1
CEP170,0,1,1
LRIG2,0,0,1
PSMD6,0,0,1
MED24,0,0,1
MAGI2,1,1,1
TRIL,1,1,1
TRIM66,0,0,1
PJA2,0,1,1
TOMM70,0,1,1
SETDB1,0,0,1
AREL1,0,0,1
SEC24D,0,0,1
FCHSD2,0,1,1
TLK1,0,1,1
URB1,0,0,1
ZC3H11A,0,0,1
TOX4,0,0,1
DDX46,0,0,1
ZBTB39,0,0,1
TRANK1,0,1,1
TBC1D4,0,0,1
POM121,0,0,1
OSBPL2,0,1,1
RHOBTB1,0,0,1
SMG7,0,0,1
ZBED4,0,0,1
RP4-788L13.1,0,0,1
NUAK1,0,1,1
SNAP91,1,1,1
TELO2,0,0,1
TECPR2,0,1,1
FIG4,0,1,1
WASHC5,0,0,1
UBAP2L,0,0,1
SV2B,1,1,1
SV2A,1,1,1
SRGAP3,1,1,1
MRC2,0,0,1
KLHL21,0,0,1
RBM19,0,0,1
SGSM2,0,1,1
AP5Z1,0,0,1
G3BP2,0,1,1
DENND4B,0,1,1
RABGAP1L,0,1,1
TMCC2,1,1,1
AC005277.1,0,0,1
SUPT7L,0,1,1
ATP2C2,0,1,1
ARNT2,1,1,1
FAM20B,0,1,1
NCAPD2,0,0,1
SEC16A,0,0,1
KBTBD11,1,1,1
RNF10,0,0,1
IQSEC1,1,1,1
ZBTB40,0,0,1
PAN2,0,0,1
ZBTB5,0,0,1
LPGAT1,0,1,1
MFN2,0,1,1
KIF14,0,1,1
JOSD1,0,0,1
HELZ,0,0,1
PUM3,0,0,1
P2RY14,0,1,1
MAFB,0,0,1
CD302,0,0,1
DCLRE1A,0,1,1
ARHGAP25,0,0,1
RBM8A,0,1,1
DLEC1,0,1,1
EXOG,0,1,1
XYLB,0,0,1
OXSR1,0,0,1
GFPT2,0,1,1
CRYZL1,0,1,1
MAGEC1,0,0,0
WDR1,0,0,1
AMMECR1,0,0,1
GOLGA5,0,0,1
HS3ST4,1,1,1
HS3ST3B1,0,0,1
HS3ST3A1,0,0,0
HS3ST2,0,1,1
HS3ST1,0,1,1
USP15,0,0,1
USP3,0,0,1
MVP,0,0,1
SLC23A2,0,1,1
SLC23A1,0,0,1
FGF19,0,0,0
TNFSF15,0,0,1
THRAP3,0,0,1
MED12,0,0,1
MED13,0,0,1
NR1I3,0,1,1
NR1H4,0,0,0
NUP153,0,0,1
CCS,0,0,1
NR1D2,0,1,1
CLEC2B,0,0,1
RBX1,0,1,1
DOPEY2,0,1,1
FGFBP1,0,0,0
THOC1,0,1,1
REC8,0,1,1
RCE1,0,0,1
HNRNPDL,0,0,1
DMTF1,0,1,1
PPP4R1,0,0,1
SLC12A6,0,1,1
PTBP3,0,0,1
KCNE2,0,1,1
DGCR2,0,1,1
CASP8AP2,0,0,1
SCO2,0,0,1
AKT3,0,1,1
MED6,0,0,1
NR2E3,0,1,1
NAALAD2,0,1,1
NAALADL1,0,0,1
ACOT8,0,1,1
ABI1,0,1,1
GNPDA1,0,1,1
KCNE3,0,0,1
ZBTB33,0,1,1
TANK,0,0,1
SRA1,0,0,1
HDAC6,0,1,1
HDAC5,0,1,1
PDCD6IP,0,0,1
PDCD6,0,1,1
BCL2L10,0,1,1
BCL2L11,0,0,1
SH2B3,0,0,1
GNE,0,0,1
HCN4,0,1,1
INSL5,1,1,1
FRAT1,0,1,1
TROAP,0,0,1
MED16,0,0,1
PIGK,0,1,1
CHAF1A,0,0,1
PARP2,0,1,1
PARP3,0,0,1
TOM1L1,0,0,1
HMGXB4,0,0,1
TOM1,0,0,1
SH2D3C,0,1,1
SH2D3A,0,0,1
MAMLD1,0,1,1
CST8,0,0,0
RANBP9,0,1,1
DNAJB6,0,0,1
SLC17A4,0,0,0
SMC4,0,0,1
GJC1,0,0,1
AP1M2,0,0,1
UBA2,0,0,1
SAE1,0,0,1
FARSB,0,1,1
ABCC5,0,1,1
ABCB6,0,1,1
DNM1L,0,1,1
ABCC9,0,0,1
ABCF2,0,0,1
NR1H3,0,0,1
