symbols,brain > body (default),brain >= body,brain non-zero
APBB1,1,1,1
APBB2,0,1,1
APC,1,1,1
APCS,0,0,0
AIRE,1,1,1
APEH,0,0,1
APEX1,0,0,1
BIRC2,0,0,1
BIRC3,0,0,1
XIAP,0,1,1
BIRC5,0,0,1
APLP1,1,1,1
APLP2,0,1,1
APOA1,0,1,1
APOA2,0,1,1
APOA4,0,0,0
APOB,0,1,1
APOBEC1,0,0,0
APOC1,1,1,1
AQP8,0,1,1
APOC4,0,1,1
APOC3,0,0,0
APOC4,0,0,1
APOD,0,1,1
APOE,1,1,1
APOH,0,0,0
APP,0,1,1
APRT,0,0,1
KLK3,0,0,0
FAS,0,0,1
FASLG,0,0,0
SHROOM2,1,1,1
AQP1,0,0,1
AQP2,0,0,0
AQP3,0,0,1
AQP4,1,1,1
AQP5,0,1,1
AQP6,1,1,1
AQP7,0,0,1
AQP9,0,1,1
AR,0,0,1
ABCC6,0,0,1
ARAF,0,0,1
ARCN1,0,0,1
TRIM23,1,1,1
AREG,0,0,1
ARF1,0,0,1
ARF3,1,1,1
ARF4,0,0,1
ARL4D,0,0,1
ARF5,0,1,1
ARF6,0,0,1
ARG1,0,1,1
ARG2,0,1,1
RHOA,0,0,1
RHOB,0,1,1
RHOC,0,0,1
RND3,0,0,1
RHOG,0,0,1
ARHGAP1,0,0,1
ARHGAP4,0,0,1
ARHGAP5,0,1,1
ARHGAP6,0,0,1
ARHGDIA,0,0,1
ARHGDIB,0,0,1
ARHGDIG,1,1,1
RHOH,0,0,1
ARL1,0,0,1
PHOX2A,0,0,0
ARL2,0,1,1
ARL3,1,1,1
ARNT,0,0,1
ARNTL,0,0,1
ARR3,0,0,1
ARRB1,1,1,1
ARRB2,0,1,1
ARSA,0,0,1
ARSB,0,0,1
STS,0,1,1
ARSD,0,0,1
ARSE,0,1,1
ARSF,1,1,1
ART1,0,1,1
ART3,0,1,1
ART4,0,0,1
ARVCF,0,1,1
ASAH1,0,0,1
ASCL1,1,1,1
ASCL2,0,0,1
ASGR1,0,1,1
ASGR2,0,1,1
ASIP,0,0,1
ASL,0,0,1
ASMT,0,0,1
ASNA1,0,1,1
ASNS,1,1,1
ASPA,1,1,1
ASPH,0,1,1
ASS1,0,0,1
ASTN1,1,1,1
SERPINC1,0,1,1
ZFHX3,0,0,1
ATF1,0,0,1
ATF3,0,0,1
ATF4,0,0,1
ATIC,0,0,1
ATM,0,0,1
